bbl,bin,compltyear,unitsco,zoningdst1,latitude,longitude,lotarea,lotfront
3087017501,3428668,2016,44.0,R6,40.5821981399,-73.9576475457,18720,160.0000000
3039990032,3394600,2019,3.0,R5,40.6736767362,-73.8854081513,2500,25.0000000
3017820065,3399640,2013,8.0,R6,40.6919312294,-73.9418207906,2500,25.0000000
3017820063,3399638,2014,8.0,R6,40.6919501805,-73.9416450349,2500,25.0000000
3017820066,3399641,2013,2.0,R6,40.6918538342,-73.9418957009,1250,25.0000000
3017820064,3399639,2013,8.0,R6,40.691940803,-73.9417332116,2500,25.0000000
3027450032,3068341,2010,6.0,R6,40.7169240142,-73.9435901209,3925,25.0000000
3055127502,3413916,2014,3.0,R5,40.6218225557,-73.9864605109,6010,60.0000000
3055127502,3413918,2014,3.0,R5,40.6218888121,-73.9865698777,6010,60.0000000
3055127502,3413917,2015,3.0,R5,40.6218571013,-73.9865175335,6010,60.0000000
3088247503,3397677,2011,3.0,R4,40.6006978555,-73.9318459935,8000,100.0000000
3088247503,3248268,2011,3.0,R4,40.600789833,-73.9316879981,8000,100.0000000
3088247503,3397676,2011,2.0,R4,40.6007495692,-73.931773642,8000,100.0000000
3029077503,3394979,2015,53.0,R6,40.7153281267,-73.9411153755,12739,114.1700000
3065890084,3173913,2012,1.0,R5,40.613709171,-73.9667715803,4820,40.0000000
3042980006,3096388,2010,6.0,C1-3,40.6615062171,-73.89339856,1800,20.0000000
3010490011,3414915,2013,1.0,R6B,40.664116,-73.986678,1142,22.8300000
3065987502,3392930,2010,10.0,R7A,40.6080190468,-73.9823213944,3465,35.0000000
3063720023,3396760,2010,3.0,R5,40.6044870092,-74.0015924711,2658,27.5000000
3063720024,3396574,2010,3.0,R5,40.6045316716,-74.0015461948,2658,27.5000000
3013870038,3037210,2017,2.0,C2-3,40.6699362998,-73.9231661866,2000,20.0000000
3017877501,3396015,2012,83.0,R6,40.6913769329,-73.9418763692,23400,123.0000000
3041230117,3422255,2017,2.0,R5,40.6874040727,-73.8674750723,2476,24.0000000
3048370001,3107748,2010,15.0,R7-1,40.654417183,-73.9497589606,4700,39.3300000
3023987501,3062862,2010,10.0,M1-2,40.7113447466,-73.9533938975,3850,50.0000000
3021370014,3394368,2010,66.0,R6,40.7093541852,-73.9647405975,24835,141.5000000
3011480022,3028266,2012,9.0,R6,40.6777269221,-73.9612806979,3275,25.0000000
3027210010,3423648,2013,8.0,R6A,40.7186719206,-73.9518331508,2500,25.0000000
3062057501,3400667,2010,6.0,R5,40.6140949433,-73.9944293594,5003,0.0000000
3027147502,3067793,2010,31.0,R6A,40.7211623012,-73.9473764421,13915,58.5400000
3027677502,3397374,2010,12.0,R6,40.7127040175,-73.9502133757,6021,60.0600000
3011420092,3414914,2014,16.0,R6,40.6775909113,-73.9585506805,5280,48.0000000
3006430005,3420408,2014,16.0,R8A,40.6623191406,-73.9956940551,2263,30.1700000
3019127502,3054951,2010,4.0,R6,40.6930073438,-73.9580019418,2588,0.0000000
3019127501,3054952,2010,3.0,R6,40.6929450179,-73.957940512,2040,25.5000000
3015220051,3041406,2012,3.0,R6,40.6813996825,-73.909583202,2500,25.0000000
3025237502,3064200,2010,8.0,R6,40.7333589524,-73.9529507908,7500,75.0000000
3025237502,3425467,2010,8.0,R6,40.7333510957,-73.9530381301,7500,75.0000000
3025237502,3425468,2010,8.0,R6,40.7333670899,-73.9528599362,7500,75.0000000
3023170005,3425620,2011,62.0,M1-2,40.7203812979,-73.9612484884,20726,179.6200000
3010297506,3413733,2015,8.0,R6B,40.6665394615,-73.98735166,3750,37.5000000
3064120156,3418136,2014,3.0,R5,40.6004666765,-73.9980688272,2900,30.0000000
3013300025,3397404,2016,46.0,R6,40.6622279555,-73.9487237493,13785,92.4600000
3029167502,3425535,2012,7.0,R6,40.7141094268,-73.9405460119,2500,25.0000000
3006777501,3010046,2011,12.0,R6,40.6554388541,-74.0000041765,3141,0.0000000
3068687501,3396745,2011,6.0,R5,40.5964328389,-73.9866601139,3867,40.0000000
3031840060,3414119,2017,36.0,R6,40.698802125,-73.9294474349,11015,75.0000000
3041070107,3396329,2010,2.0,R5,40.6874810229,-73.8716964795,1328,30.2900000
3041070108,3396330,2010,2.0,R5,40.6874611989,-73.8718065605,2098,36.3500000
3041070106,3396328,2010,2.0,R5,40.6875037362,-73.8715851729,1739,44.9400000
3025497501,3064526,2010,28.0,R6A,40.730676,-73.959113,29171,200.0000000
3005130044,3852170,2017,3.0,M1-1,40.679147,-74.004918,1580,16.7500000
3023697501,3397052,2010,6.0,R6A,40.7134262973,-73.9561186413,1875,25.0000000
3023937501,3395392,2011,9.0,R6,40.714153476,-73.9609755931,5500,0.0000000
3005760045,3323706,2010,1.0,R5,40.6763244707,-74.0122172225,2100,21.0000000
3009150051,3017914,2010,4.0,R6,40.6475654145,-73.998851181,2504,25.0000000
3039340041,3401620,2014,2.0,R4,40.6786450531,-73.890210486,2500,25.0000000
3023260017,3324857,2013,7.0,R6,40.7188501295,-73.9596762051,2500,25.0000000
3071040353,3396913,2011,1.0,R4,40.5988988945,-73.9721392902,3400,28.3300000
3018190044,3051460,2011,3.0,R6,40.6859114263,-73.944657477,2880,20.0000000
3001987502,3424423,2017,7.0,R7B,40.6833574352,-73.9803453672,2083,20.8300000
3023297501,3413891,2013,8.0,R6B,40.7163522774,-73.9556895614,2500,0.0000000
3035830015,3082037,2020,3.0,R6,40.6605863984,-73.9149504955,2500,25.0000000
3051747501,3413863,2013,14.0,R6,40.636646546,-73.9676513307,4302,40.0000000
3070210020,3397952,2012,20.0,R6,40.5781785783,-73.9842806374,9500,80.0000000
3034210033,3413849,2012,2.0,R6,40.6872849965,-73.9109755673,1700,17.0000000
3018500039,3399693,2012,2.0,R7D,40.6804189988,-73.9466875518,1600,20.0000000
3008910037,3017396,2010,4.0,R6B,40.6606449252,-73.991076997,2096,19.0000000
3060050050,3152014,2011,1.0,R2,40.6266810822,-74.033456748,4000,40.0000000
3054477504,3128944,2010,4.0,R6,40.632384849,-73.9866101041,4007,40.0000000
3055937514,3412923,2010,20.0,C1-3,40.6394679578,-73.9878577386,8115,81.0000000
3065200041,3170891,2011,1.0,R2X,40.6248443096,-73.9684058918,4820,40.0000000
3013380052,3421635,2016,3.0,R6,40.6764286257,-73.9250597748,1340,20.0000000
3013380047,3421631,2020,3.0,R6,40.6766496689,-73.9250388082,1525,20.0000000
3013380048,3421632,2016,3.0,R6,40.6765930566,-73.9250441779,1980,20.0000000
